env,algo,n_seeds,mean,std,iqm,iqm_ci_lo,iqm_ci_hi
Reacher-v5,PPO,20,-4.783810460567475,0.42636826629891617,-4.7996725082397464,-5.035887764692307,-4.551322891712189
Reacher-v5,SAC,20,-3.604932463169098,0.2641740079354257,-3.5833432197570803,-3.7280007046461106,-3.4753951662778855
Reacher-v5,TD3,20,-4.520866239070893,0.4306180170608742,-4.451725769042969,-4.689017992019654,-4.271290718317032
Reacher-v5,A2C,20,-12.138521671295166,3.282609096917376,-11.694807624816894,-12.94507381439209,-10.512565081119536
HalfCheetah-v5,PPO,20,1419.47919921875,349.5023707900141,1363.384814453125,1298.9696929931642,1523.4531970214844
HalfCheetah-v5,SAC,20,7751.409008789063,865.284313577983,7792.37255859375,7242.893912353516,8255.505987548828
HalfCheetah-v5,TD3,20,4505.908184814453,2284.7879775902734,4529.13720703125,2800.156388854981,6152.6644921874995
HalfCheetah-v5,A2C,20,1021.269794845581,670.105375419007,830.9726867675781,643.0022096252442,1262.2985971069327
