algo,n_scores,iqm_normalized,ci_lo,ci_hi
SAC,80,0.8860890720641734,0.8354622391708708,0.9256461929766052
TD3,80,0.41927517218476834,0.29301673638989517,0.559844825457459
PPO,80,0.3259755979798114,0.21748161726664847,0.4676684535788106
A2C,80,0.1296429339658293,0.09318816625853626,0.19003930604835523
