algo,n_scores,iqm_normalized,ci_lo,ci_hi
SAC,40,0.941867123041218,0.9000512281344959,0.9658922797545696
TD3,40,0.8095208562386326,0.6641110560039131,0.8835629869465886
PPO,40,0.5366715750954736,0.3143665516420372,0.7585755370394772
A2C,40,0.2701309024994424,0.16261472803371596,0.3817495497374556
